,index,NbCommentaire,NbIngredients,Note,Plat,Temps,accompagnement,amusegueule,boisson,confiserie,dessert,entree,ingredient,platprincipal,sauce,vegan,vegetarien
947,948,3,10,4,Chaussons aux épinards - Fatayer (Liban),140,0,0,0,0,0,1,"['citron', 'huile-d-olive', 'farine', 'epinards-frais', 'eau', 'sumac', 'pignons', 'oignon', 'sel']",0,0,1,1
948,949,3,20,"3,3",Tresse façon croissant aux amandes,45,0,0,0,0,1,0,"['amandes', 'pate', 'levure', 'farine', 'fromage-frais', 'sucre-glace', 'lait', 'oeuf', 'beurre', 'sucre', 'sel']",0,0,0,1
949,950,24,5,"4,6",Crème au café très simple,20,0,0,0,0,1,0,"['jaune-d-oeuf', 'cafe', 'lait', 'maizena', 'sucre']",0,0,0,1
950,951,3,6,"4,7",Camembert farci aux noix,10,0,0,0,1,0,0,"['poire', 'camembert', 'creme-epaisse', 'beurre', 'noix', 'sirop-d-erable']",0,0,0,1
951,952,129,7,"3,7",Pâte à gaufre,25,0,0,0,1,0,0,"['farine', 'biere', 'lait', 'oeuf', 'beurre', 'sucre', 'sel']",0,0,0,1
952,953,43,7,"4,3",Tarte au citron (pâte à tarte maison),65,0,0,0,0,1,0,"['citron', 'sucre-semoule', 'beurre-doux', 'farine', 'oeuf', 'eau']",0,0,0,1
953,954,107,8,"4,7",Super petits sablés à la confiture,65,0,0,0,0,1,0,"['amandes', 'sucre-semoule', 'farine', 'sucre-glace', 'oeuf', 'sucre-vanille', 'beurre', 'confiture']",0,0,0,1
954,955,10,12,"4,4",Chapon farci aux marrons,215,0,0,0,0,0,0,"['chair-a-saucisse', 'chapon', 'cognac', 'celeri', 'huile', 'foie', 'marrons', 'bouillon', 'oeuf', 'beurre', 'poivre', 'sel']",1,0,0,0
955,956,112,7,"3,2",mug cake jambon-fromage,7,0,0,0,0,0,1,"['farine', 'lait', 'oeuf', 'beurre', 'levure-chimique', 'jambon', 'emmental']",0,0,0,0
956,957,11,15,"4,5",Chouquettes chocolat fourrées à la crème pâtissière,45,0,0,0,0,1,0,"['jaune-d-oeuf', 'cacao-amer', 'sucre-semoule', 'beurre-doux', 'farine', 'lait', 'oeuf', 'eau', 'sucre-vanille', 'levure-chimique', 'sucre', 'vanille', 'sel']",0,0,0,1
957,958,38,7,"4,1",Clafoutis salé au chèvre,45,0,0,0,0,0,1,"['farine', 'creme-liquide', 'lait', 'oeuf', 'beurre', 'ciboulette', 'fromage-de-chevre']",0,0,0,1
958,959,58,10,"4,9",Tartare de crevettes mangue avocats,45,0,0,0,0,0,1,"['avocat', 'huile-d-olive', 'aneth', 'tabasco', 'oignon-nouveau', 'citron-vert', 'fleur-de-sel', 'mangue', 'crevette-rose', 'poivre']",0,0,0,0
959,960,133,5,"4,5",Sauce au poivre toute simple,30,0,0,0,0,0,0,"['vinaigre-aromatise-a-l-estragon', 'cube-de-bouillon', 'farine', 'beurre', 'poivre']",0,1,0,0
960,961,1999,7,"4,6",Gâteau au yaourt,45,0,0,0,0,1,0,"['citron', 'sucre-semoule', 'farine', 'yaourt-nature', 'oeuf', 'huile-de-colza', 'levure-chimique']",0,0,0,1
961,962,23,2,"4,2",Beurre de Cacahuète,5,1,0,0,0,0,0,"['huile-d-arachide', 'cacahuete-grillee']",0,0,1,1
962,963,53,7,"4,4",Pastéis de nata (Portugal),50,0,0,0,0,1,0,"['jaune-d-oeuf', 'citron', 'pate-feuilletee', 'farine', 'lait', 'sucre', 'sel']",0,0,0,1
963,964,29,8,"4,9",Tourte aux Myrtilles,80,0,0,0,0,1,0,"['myrtilles', 'levure', 'rhum', 'farine', 'lait', 'oeuf', 'beurre', 'sucre-en-poudre']",0,0,0,1
